Fecha;PM2.5(µg/m³);SO2(µg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);Ozono(µg/m³)
24/01/2018;29;5;23;38;43;74;23
25/01/2018;48;;10;35;56;51;22
26/01/2018;6;;3;25;10;30;38
27/01/2018;8;;1;14;14;16;51
28/01/2018;22;;1;7;31;9;60
29/01/2018;24;3;27;39;33;80;29
30/01/2018;28;3;18;45;38;72;19
31/01/2018;27;4;9;38;35;51;27
01/02/2018;27;4;7;31;34;43;26
02/02/2018;6;3;2;19;9;22;46
03/02/2018;5;5;2;16;7;19;52
04/02/2018;11;4;1;17;12;18;41
05/02/2018;15;3;11;34;18;50;29
06/02/2018;7;3;2;17;8;21;43
07/02/2018;9;3;4;26;13;32;39
08/02/2018;7;3;5;19;11;26;51
09/02/2018;12;3;8;31;21;44;41
10/02/2018;5;3;1;13;8;15;63
11/02/2018;7;3;1;19;8;20;48
12/02/2018;7;3;3;22;11;27;45
13/02/2018;8;3;4;23;11;29;49
14/02/2018;7;3;1;17;10;19;47
15/02/2018;16;3;8;35;24;47;30
16/02/2018;34;4;27;40;45;82;20
17/02/2018;43;4;12;34;49;52;17
18/02/2018;12;3;1;17;15;19;49
19/02/2018;16;3;10;38;24;53;25
20/02/2018;7;3;5;21;13;29;42
21/02/2018;8;3;2;17;17;20;50
22/02/2018;19;3;5;27;28;34;46
23/02/2018;21;3;5;30;32;38;48
24/02/2018;27;3;2;24;34;27;57
25/02/2018;33;5;3;28;39;32;55
26/02/2018;26;5;9;28;39;42;52
27/02/2018;13;3;1;19;18;21;49
28/02/2018;15;3;5;33;19;40;34
01/03/2018;40;3;10;33;47;48;26
02/03/2018;13;3;3;29;21;33;
03/03/2018;11;3;3;23;14;27;67
04/03/2018;7;4;2;21;9;23;61
05/03/2018;4;4;1;15;6;17;74
06/03/2018;4;4;1;16;6;18;73
07/03/2018;6;3;2;23;10;26;59
08/03/2018;14;5;4;34;21;39;49
09/03/2018;12;7;4;30;17;36;48
10/03/2018;11;5;3;22;15;27;55
11/03/2018;5;3;1;5;7;6;87
12/03/2018;5;5;1;11;9;13;77
13/03/2018;13;6;2;26;20;29;54
14/03/2018;21;6;9;40;30;53;34
15/03/2018;7;3;1;13;13;14;81
16/03/2018;7;3;1;12;11;14;76
17/03/2018;7;3;1;11;9;12;73
18/03/2018;8;3;1;12;10;13;72
19/03/2018;12;3;1;10;17;12;71
20/03/2018;9;3;1;7;11;8;83
21/03/2018;14;3;4;20;21;26;77
22/03/2018;14;7;7;35;35;45;54
23/03/2018;11;4;3;21;27;25;54
24/03/2018;4;4;1;5;12;6;69
25/03/2018;7;4;1;11;13;12;59
26/03/2018;6;4;5;26;11;32;52
27/03/2018;12;4;6;39;25;48;44
28/03/2018;10;6;8;30;25;43;39
29/03/2018;11;15;2;18;18;21;45
30/03/2018;6;7;1;5;16;6;76
31/03/2018;4;4;1;6;9;7;77
01/04/2018;8;3;2;13;13;15;66
02/04/2018;11;4;1;13;16;15;68
03/04/2018;15;4;5;32;26;39;45
04/04/2018;7;3;1;8;14;10;68
05/04/2018;7;4;2;18;11;20;66
06/04/2018;14;4;2;18;19;21;66
07/04/2018;17;4;1;8;22;9;80
08/04/2018;4;7;1;7;5;8;74
09/04/2018;4;5;1;5;6;6;90
10/04/2018;5;11;1;15;7;17;77
11/04/2018;3;3;1;11;4;12;86
12/04/2018;6;3;1;13;7;15;77
13/04/2018;8;3;2;17;10;20;80
14/04/2018;14;3;1;14;16;15;73
15/04/2018;11;3;1;12;12;13;68
16/04/2018;5;3;2;16;7;18;70
17/04/2018;10;5;6;30;14;38;51
18/04/2018;22;6;6;28;24;37;66
19/04/2018;26;5;9;22;30;35;86
20/04/2018;26;3;1;12;29;13;96
21/04/2018;27;5;3;20;33;24;74
22/04/2018;23;4;1;17;27;18;74
23/04/2018;21;8;4;19;29;24;75
24/04/2018;25;6;3;30;31;34;72
25/04/2018;21;4;7;27;25;38;76
26/04/2018;16;5;7;33;18;44;48
27/04/2018;19;5;9;23;20;36;61
28/04/2018;27;5;1;11;27;13;78
29/04/2018;7;8;1;7;10;9;81
30/04/2018;4;6;1;11;7;13;81
01/05/2018;3;4;1;8;3;9;88
02/05/2018;7;3;4;28;9;34;61
03/05/2018;3;3;2;12;5;15;67
04/05/2018;4;3;2;22;5;26;59
05/05/2018;9;4;2;19;10;23;64
06/05/2018;11;3;1;12;12;13;83
07/05/2018;15;3;7;23;16;33;70
08/05/2018;15;3;5;28;16;36;72
09/05/2018;20;3;4;25;21;30;69
10/05/2018;12;4;3;19;13;23;70
11/05/2018;12;4;5;21;13;29;60
12/05/2018;11;4;2;14;13;16;72
13/05/2018;6;9;1;8;8;10;91
14/05/2018;5;11;4;21;7;26;68
15/05/2018;3;6;2;14;5;16;82
16/05/2018;5;5;3;16;5;21;71
17/05/2018;6;3;5;28;7;36;72
18/05/2018;10;3;5;19;11;27;96
19/05/2018;14;3;1;12;15;14;101
22/05/2018;;6;2;20;;23;89
23/05/2018;;4;1;14;;16;97
24/05/2018;;3;1;12;;13;89
25/05/2018;;3;1;8;;10;97
26/05/2018;;3;1;6;;7;86
27/05/2018;;3;1;10;;11;71
28/05/2018;;3;2;16;;18;68
29/05/2018;;3;1;10;;12;76
30/05/2018;;3;1;12;;14;89
31/05/2018;;7;3;18;;23;78
01/06/2018;;6;2;12;;15;85
02/06/2018;;5;1;11;;12;77
03/06/2018;;3;1;6;;8;90
04/06/2018;;5;3;15;;20;65
05/06/2018;;6;2;14;;17;73
06/06/2018;;4;1;11;;13;76
07/06/2018;8;5;3;13;15;18;68
08/06/2018;19;;3;13;29;17;79
09/06/2018;21;;1;9;29;11;84
10/06/2018;18;;1;11;27;13;74
11/06/2018;7;;2;11;16;13;69
12/06/2018;9;;2;15;19;19;76
13/06/2018;10;3;1;12;21;14;94
14/06/2018;10;3;2;11;19;14;85
15/06/2018;16;3;2;14;27;17;76
16/06/2018;17;3;1;7;25;9;79
17/06/2018;14;3;1;10;22;12;71
18/06/2018;12;4;2;9;21;12;68
19/06/2018;15;5;2;10;24;12;63
20/06/2018;13;3;1;9;22;11;74
21/06/2018;14;3;3;17;24;22;71
22/06/2018;17;3;2;17;31;19;86
23/06/2018;17;3;1;8;27;10;88
24/06/2018;16;;1;5;25;7;91
25/06/2018;18;9;2;12;30;14;76
26/06/2018;17;4;1;10;29;12;85
27/06/2018;16;3;1;10;28;12;91
28/06/2018;22;3;1;9;35;11;82
29/06/2018;15;;1;8;26;10;83
30/06/2018;15;;1;6;24;8;86
01/07/2018;21;;1;5;32;7;79
02/07/2018;21;;3;18;44;22;59
03/07/2018;22;4;1;10;39;13;70
04/07/2018;25;3;1;8;35;10;81
05/07/2018;13;3;2;12;28;15;77
06/07/2018;17;;2;11;29;14;64
07/07/2018;17;;1;5;25;7;75
08/07/2018;15;;1;7;23;9;76
09/07/2018;17;5;3;15;35;20;73
10/07/2018;17;3;1;10;28;12;81
11/07/2018;21;3;1;8;30;10;77
12/07/2018;20;3;1;7;30;8;84
13/07/2018;19;3;1;8;29;9;78
14/07/2018;24;3;1;8;36;10;70
15/07/2018;31;3;1;9;47;11;66
16/07/2018;12;4;1;10;31;12;80
17/07/2018;15;5;2;11;29;13;75
18/07/2018;16;;1;9;29;11;78
19/07/2018;18;;1;8;30;10;79
20/07/2018;21;5;1;6;35;8;79
21/07/2018;18;5;1;5;28;7;74
22/07/2018;10;6;1;6;19;7;83
23/07/2018;13;6;1;10;25;12;69
24/07/2018;19;5;2;9;29;12;68
25/07/2018;18;5;1;6;27;8;70
26/07/2018;21;6;1;10;30;12;67
27/07/2018;19;6;1;7;29;8;64
28/07/2018;23;7;1;8;34;10;68
29/07/2018;24;7;1;4;33;6;76
30/07/2018;23;7;1;7;33;9;57
31/07/2018;22;7;2;9;31;12;48
01/08/2018;20;;1;7;28;9;52
02/08/2018;21;3;2;13;33;15;49
03/08/2018;21;3;3;15;32;19;55
04/08/2018;21;4;1;11;32;12;65
06/08/2018;20;;1;7;33;9;97
07/08/2018;20;3;1;9;34;11;72
08/08/2018;19;3;1;11;28;12;48
09/08/2018;22;3;1;9;35;11;52
10/08/2018;16;3;1;4;31;6;56
11/08/2018;16;3;1;5;23;6;64
12/08/2018;17;3;1;6;25;8;54
13/08/2018;18;3;2;8;29;10;60
14/08/2018;14;3;1;6;24;8;46
15/08/2018;12;3;1;4;20;6;47
16/08/2018;16;3;1;14;24;16;50
17/08/2018;11;3;1;8;18;9;70
18/08/2018;10;3;1;5;16;6;58
19/08/2018;11;3;1;6;16;8;61
20/08/2018;11;3;2;18;20;21;58
21/08/2018;16;3;1;11;26;13;78
22/08/2018;18;3;2;18;30;20;68
23/08/2018;16;3;2;16;28;20;64
24/08/2018;15;3;1;9;26;11;66
25/08/2018;17;3;1;7;28;9;55
26/08/2018;16;3;1;4;26;6;64
27/08/2018;18;3;1;6;28;8;60
28/08/2018;16;3;1;7;25;8;59
29/08/2018;13;3;1;5;20;7;57
30/08/2018;16;3;1;7;23;9;57
31/08/2018;17;3;2;8;25;11;63
01/09/2018;15;3;1;7;24;9;61
02/09/2018;15;3;1;4;24;6;67
03/09/2018;17;3;1;7;26;8;62
04/09/2018;15;4;2;9;25;11;61
05/09/2018;20;3;1;9;29;11;58
06/09/2018;17;3;1;9;26;10;61
07/09/2018;15;4;1;8;23;9;69
08/09/2018;16;5;1;7;23;8;66
09/09/2018;14;3;1;6;19;8;61
10/09/2018;16;3;1;8;23;10;65
11/09/2018;18;3;2;11;26;14;52
12/09/2018;20;3;3;15;29;19;51
13/09/2018;20;3;4;11;29;17;58
14/09/2018;19;3;3;12;29;17;64
15/09/2018;15;3;1;8;20;10;58
16/09/2018;11;4;1;7;16;9;55
17/09/2018;14;3;1;9;21;12;55
18/09/2018;13;3;2;8;18;11;54
19/09/2018;16;3;4;12;24;17;47
20/09/2018;21;3;4;14;31;20;43
21/09/2018;21;3;5;16;33;23;51
22/09/2018;26;3;3;13;37;16;55
23/09/2018;27;3;1;10;37;11;57
24/09/2018;14;3;6;12;22;20;39
25/09/2018;12;5;1;6;25;8;55
26/09/2018;19;4;1;6;32;7;76
27/09/2018;12;4;1;8;21;9;66
28/09/2018;19;5;5;19;28;26;47
29/09/2018;12;5;1;12;21;13;72
30/09/2018;13;4;1;8;20;9;70
01/10/2018;14;5;5;15;25;22;54
02/10/2018;11;4;2;16;36;19;58
03/10/2018;11;4;4;20;34;25;47
04/10/2018;12;3;4;15;28;20;57
05/10/2018;11;3;2;12;20;14;61
06/10/2018;20;3;1;13;28;14;59
07/10/2018;12;4;1;5;26;6;62
08/10/2018;5;4;1;8;13;9;54
09/10/2018;6;4;1;6;10;7;55
10/10/2018;10;4;2;10;16;12;53
11/10/2018;21;3;5;19;30;27;33
12/10/2018;23;3;2;12;31;14;39
13/10/2018;19;3;1;7;26;8;54
14/10/2018;14;3;1;7;20;8;48
15/10/2018;5;3;2;12;12;14;43
16/10/2018;9;3;4;11;19;17;52
17/10/2018;14;4;3;11;21;15;54
18/10/2018;18;4;5;20;22;27;25
19/10/2018;9;3;2;18;13;20;48
20/10/2018;22;3;1;9;30;10;73
21/10/2018;30;3;3;18;40;21;74
22/10/2018;28;3;6;21;39;30;47
23/10/2018;29;3;9;26;41;39;47
24/10/2018;26;3;8;43;39;56;27
25/10/2018;22;4;12;43;35;61;25
26/10/2018;27;4;23;45;40;80;25
27/10/2018;9;3;1;15;12;16;43
28/10/2018;5;4;1;5;7;5;53
29/10/2018;4;3;2;15;9;16;51
30/10/2018;8;3;2;25;12;28;41
31/10/2018;6;4;2;21;7;22;43
01/11/2018;8;4;7;22;11;32;35
02/11/2018;16;6;41;40;23;102;21
03/11/2018;10;4;4;33;14;39;33
04/11/2018;10;4;4;28;14;33;35
05/11/2018;13;4;26;40;21;79;25
06/11/2018;5;4;2;16;9;18;56
07/11/2018;6;3;4;26;12;31;46
08/11/2018;11;4;11;23;18;40;39
09/11/2018;4;4;3;18;7;23;51
10/11/2018;7;4;2;15;10;18;50
11/11/2018;8;3;3;11;10;15;52
12/11/2018;24;4;12;31;31;49;32
13/11/2018;27;4;8;22;37;35;40
14/11/2018;27;4;4;16;33;22;51
15/11/2018;23;4;3;18;29;23;46
20/11/2018;10;3;3;22;12;26;40
21/11/2018;10;4;13;35;17;55;33
22/11/2018;15;3;20;39;25;68;17
23/11/2018;15;3;17;38;20;63;13
24/11/2018;8;3;3;24;11;29;36
25/11/2018;5;4;2;8;8;10;56
26/11/2018;4;5;2;14;8;18;53
27/11/2018;6;4;9;37;13;50;35
28/11/2018;15;5;23;45;27;80;27
29/11/2018;19;4;30;52;31;97;18
30/11/2018;10;4;5;26;17;33;47
01/12/2018;13;4;10;37;20;53;34
02/12/2018;14;4;7;32;19;42;33
03/12/2018;21;5;39;49;35;109;19
04/12/2018;23;5;47;54;35;126;12
05/12/2018;35;4;57;47;45;134;12
06/12/2018;26;4;31;40;33;87;15
07/12/2018;29;4;26;43;36;83;15
08/12/2018;20;3;11;39;25;55;21
09/12/2018;11;3;6;33;15;41;26
10/12/2018;17;4;30;45;29;91;29
11/12/2018;27;4;28;49;41;92;17
12/12/2018;25;3;17;38;36;63;22
13/12/2018;12;3;3;17;16;21;57
14/12/2018;3;3;2;13;5;16;66
15/12/2018;7;4;4;20;10;25;46
16/12/2018;6;4;2;7;8;10;57
17/12/2018;11;4;28;45;21;87;31
18/12/2018;15;4;19;45;23;74;24
19/12/2018;9;4;4;25;14;31;45
20/12/2018;10;4;15;41;18;63;26
21/12/2018;12;3;12;38;17;56;21
22/12/2018;11;3;7;28;14;39;25
23/12/2018;20;4;19;37;23;66;15
24/12/2018;29;4;31;38;34;85;16
25/12/2018;20;3;14;30;23;51;20
26/12/2018;26;4;15;40;33;62;19
27/12/2018;28;5;22;40;36;73;21
28/12/2018;30;5;8;29;36;41;25
29/12/2018;27;7;18;36;33;64;21
30/12/2018;18;5;13;33;23;52;25
31/12/2018;15;4;12;39;21;57;27
01/01/2019;15;3;11;31;18;49;31
02/01/2019;16;3;18;41;24;68;23
03/01/2019;20;5;30;51;32;96;15
04/01/2019;21;3;12;38;29;55;25
05/01/2019;24;4;8;33;29;44;27
06/01/2019;20;5;10;38;25;53;27
07/01/2019;17;5;38;46;28;104;29
08/01/2019;27;3;31;51;39;98;19
09/01/2019;20;4;31;33;32;80;35
10/01/2019;9;5;8;29;21;40;50
11/01/2019;15;7;34;52;31;104;31
12/01/2019;18;5;16;47;27;72;30
13/01/2019;14;5;11;37;21;53;30
14/01/2019;14;6;27;44;23;85;25
15/01/2019;18;7;40;51;28;111;19
16/01/2019;34;7;35;53;44;106;20
17/01/2019;43;5;46;56;61;126;9
18/01/2019;17;3;18;47;28;74;24
19/01/2019;15;4;4;29;20;35;42
20/01/2019;13;5;3;20;16;23;41
21/01/2019;5;4;10;23;9;38;52
22/01/2019;8;4;4;18;13;23;53
23/01/2019;6;4;2;12;19;15;61
24/01/2019;3;5;2;6;10;9;74
25/01/2019;4;5;3;13;8;17;61
26/01/2019;10;5;8;31;15;43;39
27/01/2019;7;4;2;13;11;16;59
28/01/2019;5;3;3;19;14;23;56
29/01/2019;7;4;9;21;17;34;55
30/01/2019;6;5;7;22;13;31;57
31/01/2019;4;4;2;11;14;14;59
01/02/2019;4;4;2;8;15;11;74
02/02/2019;4;4;2;3;15;6;83
03/02/2019;4;4;2;2;12;4;82
04/02/2019;11;6;13;39;21;59;44
05/02/2019;16;4;21;50;29;82;24
06/02/2019;21;5;21;48;31;80;23
07/02/2019;25;5;24;43;36;80;26
08/02/2019;31;5;23;44;39;79;33
09/02/2019;37;3;12;38;42;56;31
10/02/2019;13;4;2;13;19;17;54
11/02/2019;9;5;18;34;20;61;43
12/02/2019;11;4;16;42;18;66;33
13/02/2019;13;3;10;28;20;44;49
14/02/2019;13;4;5;27;18;35;55
15/02/2019;21;5;5;29;26;36;54
16/02/2019;27;4;3;22;32;26;59
17/02/2019;15;3;3;20;17;24;62
18/02/2019;18;3;9;27;24;40;61
19/02/2019;25;3;6;28;30;36;61
20/02/2019;26;3;6;32;32;40;60
21/02/2019;35;4;10;40;44;56;50
22/02/2019;38;5;32;63;61;112;27
23/02/2019;30;4;6;26;45;34;55
24/02/2019;32;3;5;26;42;33;64
25/02/2019;30;4;11;37;42;54;51
26/02/2019;24;3;13;44;37;64;48
27/02/2019;23;5;21;66;40;98;33
28/02/2019;23;4;23;51;40;87;44
01/03/2019;26;4;17;44;37;69;51
02/03/2019;24;4;4;40;34;46;51
03/03/2019;14;4;4;35;22;41;51
04/03/2019;10;3;3;20;28;23;60
05/03/2019;15;5;2;15;23;18;70
06/03/2019;24;6;10;32;37;47;37
07/03/2019;6;3;3;17;10;22;64
08/03/2019;10;4;5;29;16;36;55
09/03/2019;14;7;4;33;22;38;54
10/03/2019;14;5;4;25;22;31;59
11/03/2019;15;4;10;29;25;44;49
12/03/2019;15;4;8;32;29;44;47
13/03/2019;14;6;9;27;28;40;55
14/03/2019;9;4;5;30;20;38;59
15/03/2019;17;5;12;39;33;57;44
16/03/2019;26;4;4;22;35;29;65
17/03/2019;26;4;15;25;42;47;69
18/03/2019;8;4;2;17;16;20;71
19/03/2019;9;4;2;10;14;12;80
20/03/2019;10;3;3;12;14;16;73
21/03/2019;14;3;5;17;24;24;80
22/03/2019;17;4;5;27;27;34;81
23/03/2019;22;4;2;24;31;28;84
24/03/2019;23;4;5;27;31;34;61
25/03/2019;22;3;7;33;34;43;57
26/03/2019;19;4;5;19;32;27;71
27/03/2019;13;6;5;25;24;32;72
28/03/2019;13;6;4;22;22;28;81
29/03/2019;13;5;5;22;20;29;86
30/03/2019;15;4;2;11;19;15;91
31/03/2019;14;3;2;8;17;11;87
01/04/2019;16;;2;18;21;20;84
02/04/2019;27;;7;38;32;49;33
03/04/2019;12;;8;21;18;32;64
04/04/2019;8;4;3;16;14;19;74
05/04/2019;10;3;7;23;15;33;58
06/04/2019;3;3;2;7;4;9;83
07/04/2019;3;3;2;6;4;9;89
08/04/2019;4;4;3;13;8;17;67
09/04/2019;5;4;2;11;11;14;80
10/04/2019;3;4;3;14;7;17;73
11/04/2019;7;5;4;20;13;26;76
12/04/2019;10;6;5;25;16;32;79
13/04/2019;18;4;3;23;23;27;81
14/04/2019;11;4;3;18;16;22;94
15/04/2019;19;3;2;9;24;13;107
16/04/2019;20;4;4;15;25;21;91
17/04/2019;17;4;2;11;21;15;94
18/04/2019;16;3;2;7;20;10;95
19/04/2019;14;3;2;6;16;9;102
20/04/2019;17;4;2;4;26;7;122
21/04/2019;14;4;2;5;21;8;114
22/04/2019;18;4;3;20;25;24;66
23/04/2019;12;3;7;25;16;36;50
24/04/2019;3;3;2;11;7;14;85
25/04/2019;3;3;2;10;6;13;77
26/04/2019;3;4;3;12;6;16;74
27/04/2019;4;5;5;17;6;25;67
28/04/2019;4;5;2;9;5;12;73
29/04/2019;5;4;2;8;6;11;73
30/04/2019;4;3;3;10;5;14;67
01/05/2019;;4;2;7;;10;73
02/05/2019;;4;2;11;;14;70
03/05/2019;;4;5;15;;22;
04/05/2019;;3;2;9;;13;
05/05/2019;;4;2;5;;8;
06/05/2019;;5;4;9;;15;82
07/05/2019;;4;5;11;;19;71
08/05/2019;;4;3;10;;14;53
09/05/2019;5;4;2;9;16;12;63
10/05/2019;7;3;3;10;16;14;49
11/05/2019;14;3;2;6;19;9;84
12/05/2019;12;3;2;10;20;14;66
13/05/2019;15;3;2;10;24;13;84
14/05/2019;17;3;3;12;36;16;83
15/05/2019;18;4;3;13;33;17;85
16/05/2019;17;5;2;8;36;11;99
17/05/2019;7;4;2;5;27;8;86
18/05/2019;7;3;2;7;12;10;79
19/05/2019;6;3;2;9;10;12;69
20/05/2019;8;3;3;9;19;13;80
21/05/2019;13;4;2;10;19;13;67
22/05/2019;14;5;3;8;19;12;71
23/05/2019;17;4;5;14;24;21;72
24/05/2019;16;3;2;16;20;19;77
25/05/2019;10;3;2;11;13;14;65
26/05/2019;8;3;2;10;12;14;57
27/05/2019;15;5;6;12;22;20;69
28/05/2019;15;6;4;14;24;19;59
29/05/2019;7;6;2;10;13;13;66
30/05/2019;11;4;4;13;22;19;55
31/05/2019;13;5;5;14;22;22;58
01/06/2019;9;6;2;9;14;12;70
02/06/2019;7;5;2;7;11;9;84
03/06/2019;11;3;4;11;23;16;82
04/06/2019;17;3;4;9;24;13;76
05/06/2019;16;3;3;9;34;13;75
06/06/2019;10;3;3;8;17;12;72
07/06/2019;11;3;3;10;21;14;75
08/06/2019;15;3;2;4;32;6;80
09/06/2019;11;5;2;6;20;9;75
10/06/2019;11;5;2;5;20;8;86
11/06/2019;11;5;2;4;23;6;77
12/06/2019;7;4;3;4;12;8;72
13/06/2019;9;3;2;1;16;4;79
14/06/2019;15;4;4;22;27;28;71
15/06/2019;10;3;2;8;25;11;92
16/06/2019;16;3;2;12;23;14;74
17/06/2019;16;3;4;15;24;21;71
18/06/2019;14;4;3;15;22;20;68
19/06/2019;17;5;3;13;24;18;75
20/06/2019;24;4;2;10;30;13;73
21/06/2019;16;3;2;6;21;8;83
22/06/2019;15;3;2;9;20;11;74
23/06/2019;16;3;3;13;21;17;68
24/06/2019;15;3;2;9;21;12;72
25/06/2019;22;3;2;6;31;9;67
26/06/2019;21;3;2;7;30;10;81
27/06/2019;17;3;3;16;25;20;87
28/06/2019;18;4;5;52;30;59;50
29/06/2019;14;5;3;35;25;39;66
30/06/2019;17;4;2;17;24;20;77
01/07/2019;23;3;3;13;31;17;62
02/07/2019;18;3;2;10;24;13;74
03/07/2019;16;5;4;24;24;30;71
04/07/2019;15;5;4;21;24;27;70
05/07/2019;20;4;5;18;28;24;59
06/07/2019;25;3;2;10;36;13;57
07/07/2019;23;3;3;19;37;23;48
08/07/2019;22;3;3;19;33;23;44
09/07/2019;15;3;2;13;25;16;72
10/07/2019;14;3;4;15;20;20;67
11/07/2019;13;4;4;24;22;29;65
12/07/2019;14;3;5;20;20;27;68
13/07/2019;11;3;2;15;19;18;66
14/07/2019;11;3;2;10;16;12;63
15/07/2019;14;3;3;14;22;18;64
16/07/2019;12;3;2;11;21;14;72
17/07/2019;10;3;2;10;17;13;78
18/07/2019;10;3;3;15;16;19;70
19/07/2019;11;3;2;11;16;14;71
20/07/2019;12;5;2;9;18;12;76
21/07/2019;14;5;1;7;19;9;64
22/07/2019;14;4;3;11;19;15;66
23/07/2019;14;3;3;20;22;24;63
24/07/2019;17;5;4;21;24;27;58
25/07/2019;15;5;5;23;23;31;61
26/07/2019;18;4;3;15;30;19;58
27/07/2019;16;4;1;12;33;14;57
28/07/2019;5;5;1;2;9;3;60
29/07/2019;8;6;3;15;15;20;51
30/07/2019;9;4;1;8;15;9;56
31/07/2019;10;3;1;10;17;12;56
01/08/2019;11;3;1;8;16;10;63
02/08/2019;10;3;1;11;15;13;78
03/08/2019;10;3;1;8;15;9;83
05/08/2019;13;3;2;12;21;14;63
06/08/2019;19;3;1;6;29;8;66
07/08/2019;26;3;2;12;36;15;54
08/08/2019;19;4;3;15;28;19;49
09/08/2019;11;4;3;38;25;43;34
10/08/2019;13;3;1;9;20;10;55
11/08/2019;12;3;1;5;16;6;54
12/08/2019;11;3;1;8;17;10;37
13/08/2019;8;3;1;8;15;9;48
14/08/2019;10;4;2;11;15;15;50
15/08/2019;10;3;1;7;14;9;51
16/08/2019;9;3;1;3;12;5;55
17/08/2019;9;3;1;5;11;7;47
18/08/2019;10;3;1;4;12;6;49
19/08/2019;10;3;1;5;14;7;49
20/08/2019;11;3;1;7;24;9;53
21/08/2019;6;3;1;6;9;7;63
22/08/2019;8;3;2;11;10;14;62
23/08/2019;10;3;2;15;15;18;68
24/08/2019;13;3;1;11;16;13;68
25/08/2019;14;3;1;8;17;9;65
26/08/2019;17;4;1;9;20;11;75
27/08/2019;9;3;1;14;11;16;68
28/08/2019;10;3;3;16;13;20;65
29/08/2019;11;3;3;22;14;27;59
30/08/2019;13;3;3;23;18;27;56
31/08/2019;12;5;2;26;16;28;58
01/09/2019;13;3;1;12;16;14;81
02/09/2019;8;3;1;9;9;11;78
03/09/2019;7;3;2;10;10;13;60
04/09/2019;8;3;2;11;10;14;59
05/09/2019;7;4;2;11;10;14;61
06/09/2019;5;3;2;8;9;11;60
07/09/2019;6;3;1;6;8;7;72
08/09/2019;7;4;1;8;8;9;63
09/09/2019;8;4;3;15;10;19;63
10/09/2019;6;4;2;9;13;11;56
11/09/2019;5;3;1;9;6;11;67
12/09/2019;6;4;1;7;9;9;94
13/09/2019;6;4;1;5;8;6;97
14/09/2019;7;3;1;5;9;7;89
15/09/2019;9;3;1;4;10;6;97
16/09/2019;8;3;1;9;9;11;78
17/09/2019;12;4;8;24;16;36;50
18/09/2019;10;4;4;20;16;26;56
19/09/2019;15;3;9;17;21;31;59
20/09/2019;11;3;1;11;14;13;75
21/09/2019;9;3;1;12;12;14;76
22/09/2019;5;3;1;7;7;9;49
23/09/2019;4;4;3;17;9;21;51
24/09/2019;5;4;6;26;10;35;46
25/09/2019;5;3;3;10;9;14;57
26/09/2019;11;4;4;19;15;25;47
27/09/2019;13;3;4;16;16;22;56
28/09/2019;13;3;3;12;16;17;53
29/09/2019;14;3;2;17;17;20;47
30/09/2019;19;3;3;17;24;22;55
01/10/2019;19;3;6;26;26;35;47
02/10/2019;7;5;6;24;17;32;43
03/10/2019;5;4;4;20;11;26;51
04/10/2019;7;4;4;24;15;30;56
05/10/2019;8;5;2;18;12;21;53
06/10/2019;9;4;1;12;12;14;59
07/10/2019;10;3;6;20;15;28;45
08/10/2019;8;4;6;22;12;30;46
09/10/2019;7;4;2;13;10;16;60
10/10/2019;4;3;1;8;7;9;56
11/10/2019;4;3;4;12;6;18;54
12/10/2019;5;3;1;7;6;9;53
13/10/2019;6;3;1;7;8;9;62
14/10/2019;8;3;2;18;11;22;46
15/10/2019;3;3;2;14;7;16;48
16/10/2019;4;5;6;26;11;36;42
17/10/2019;4;5;4;24;11;29;54
18/10/2019;4;5;3;22;8;26;38
19/10/2019;;5;2;19;;21;52
20/10/2019;;4;1;10;;12;50
21/10/2019;;3;4;18;;25;42
22/10/2019;;3;2;20;;22;37
23/10/2019;;3;3;15;;20;43
24/10/2019;;;5;20;;28;40
25/10/2019;13;;10;33;25;48;36
26/10/2019;13;4;8;22;20;34;42
27/10/2019;16;4;2;19;21;22;46
28/10/2019;26;3;13;35;38;55;25
29/10/2019;36;3;17;34;53;60;26
30/10/2019;26;4;7;33;40;44;31
31/10/2019;9;3;10;33;22;48;25
01/11/2019;6;3;5;15;14;22;32
02/11/2019;7;4;1;4;21;6;50
03/11/2019;4;;1;2;17;4;73
04/11/2019;5;;1;7;18;9;60
05/11/2019;3;3;1;8;12;10;59
06/11/2019;4;3;3;17;14;22;41
07/11/2019;5;4;2;11;15;14;48
08/11/2019;3;4;1;11;12;13;53
09/11/2019;3;4;1;4;8;6;58
10/11/2019;2;4;1;1;8;3;67
11/11/2019;3;4;2;9;11;12;57
12/11/2019;5;4;1;9;14;11;62
13/11/2019;7;5;6;20;14;28;35
14/11/2019;4;5;1;11;9;14;52
15/11/2019;3;5;2;15;7;18;45
16/11/2019;4;5;2;14;9;18;43
17/11/2019;5;3;1;7;9;9;51
18/11/2019;4;3;3;14;8;18;47
19/11/2019;8;6;9;27;14;40;33
20/11/2019;10;6;6;26;18;35;35
21/11/2019;11;4;9;25;14;38;32
22/11/2019;10;4;11;28;15;46;24
23/11/2019;3;3;1;4;5;5;69
24/11/2019;4;3;1;6;5;7;56
25/11/2019;6;4;2;15;9;17;44
26/11/2019;7;5;5;16;12;23;39
27/11/2019;5;4;2;10;12;12;53
28/11/2019;6;3;1;10;11;12;51
29/11/2019;7;4;3;22;15;27;34
